text,sentiment
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।",negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ,negative
