text,sentiment
موسیقی اور کہانی دونوں متاثر کن تھے۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
کہانی کا اختتام بہت مایوس کن تھا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
موسیقی اور کہانی دونوں متاثر کن تھے۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ,positive
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
