text	label
ବି୧ ବର୍ଗରେ ଜାଫର ଇକବାଲ ବି୨ରେ ପଙ୍କଜ ଭୁଏ ଓ ବି୩ ବର୍ଗରେ ସୁଖରାମ ମାଝିଙ୍କୁ ମ୍ୟାନ ଅଫ ଦି ସିରିଜ ହୋଇଥିଲେ	0
ଫଳରେ ଭାରତ ମାତ୍ର ୧ ରନ୍‍ରେ ରୋମାଞ୍ଚକର ବିଜୟ ହାସଲ କରିଛି	1
ସବୁଠାରୁ ଅାଶା ହରାଇ କେବଳ ଭାଗ୍ୟକୁ ଅାଦରି ଶଯ୍ୟା ପଡିରହିଛନ୍ତି ଝରିଅା	-1
ଚଣ୍ଡିପ୍ରସାଦ ମହାପାତ୍ର ବିଭୂପ୍ରସାଦ ଶତପଥୀ ଓ ସତ୍ୟବ୍ରତ ମହାପାତ୍ର ଅମ୍ପାୟାର ଭାବେ ମ୍ୟାଚ୍‍ ପରିଚାଳନା କରିଥିଲେ	0
ମ୍ୟାନ ଅଫ୍‍ ଦି ମ୍ୟାଚ୍‍ ଜାଡେଜା କହିଛନ୍ତି ଯେ ୱିକେଟରୁ ୱିକେଟକୁ ବୋଲିଂ କରିବାର ଫଳ ସେ ଏହି ମ୍ୟାଚ୍‍ରେ ପାଇଛନ୍ତି	1
ବାଂଲାଦେଶ ଓ ପାକିସ୍ତାନ ବିରୋଧରେ ଭାରତର ବିଜୟ ପରେ ଅଧିନାୟକ ମହେନ୍ଦ୍ର ସିଂହ ଧୋନି ଦିନିକିଅା ବ୍ୟାଟ୍‍ସମ୍ୟାନ୍‍ ତାଲିକାର ୧ନଂ ସ୍ଥାନକୁ ଫେରିଛନ୍ତି	1
କାରଣ ତିବ୍ଦତ ଚୀନ୍‍ର ଅଂଶ ହୋଇଥିବାବେେଳ ଏହାକୁ ବିଭାଜନ କରିବାକୁ ଉଦ୍ୟମ ଚଳାଇଥିବା ଶକ୍ତିଙ୍କ ସହିତ ଓବାମା ଅାଲୋଚନା କରିବା ଉଚିତ ନୁହେଁ ବୋଲି ଚୀନ୍‍ ବିଦେଶ ମୁଖପାତ୍ର ମା ଝାଉସ୍କୁ କହିଛନ୍ତି	0
ଏହିକ୍ରମରେ ସର୍ବାଧିକ ୭ମ ଥର ପାଇଁ ୨ ଶହ ରନ୍‍ରୁ ଊଦ୍ଧ୍ର୍ୱ ଓପ୍‍ନିଂ ଭାଗିଦାରୀରେ ତରଙ୍ଗା ସାମିଲ ହୋଇଥିଲେ	1
ଏହି ଘଟଣା ପରେ ଗ୍ରାମ ଓ ତତ୍‍ ସଂଲଗ୍ନ ଜଙ୍ଗଲରେ ପୁଲିସ ପକ୍ଷରୁ କମ୍ବିଂ ଅପରେସନ ଅାରମ୍ଭ ହୋଇଥିବାବେେଳ ଗ୍ରାମବାସୀଙ୍କୁ ସୁରକ୍ଷା ପ୍ରଦାନ କରିବା ପାଇଁ ଘଟଣା ଘଟିଥିବା ଗ୍ରାମରେ ସୁରକ୍ଷାକର୍ମୀ ମୁତୟନ କରଯାଇଛି	1
୨୭ ବର୍ଷ ବୟସ୍କ ଚାର୍ଲସ ୨୩ଟି ଟେ୍ୱଣ୍ଟି୨୦ ମ୍ୟାଚରେ ଜାତୀୟ ଦଳକୁ ପ୍ରତିନିଧିତ୍ୱ କରିଛନ୍ତି	0
ପାକିସ୍ତାନ ଟସ ଜିତି ପ୍ରଥମେ ବ୍ୟାଟିଂ ପାଇଁ ୱେଷ୍ଟଇଣ୍ଡିଜକୁ ଅାମନ୍ତ୍ରଣ କରିଥିଲା	0
ବହୁ ସମୟ ପର୍ଯ୍ୟନ୍ତ ନଫେରିବାରୁ ସେମାନେ ଖୋଜା ଖୋଜି କରି ଯାତ୍ରା କମିଟିକୁ ଜଣାଇଥିଲେ	0
ବୟସ ଦୁଇ ବର୍ଷ ବୋଲି ଅନୁମାନ କରାଯାଉଛି	0
ପୂର୍ବ କାଯ୍ର୍ୟସୂଚୀ ଅନୁଯାୟୀ ଅପରାହ୍ନ ୧ଟାରେ ଷେ୍ଟସନ ଛାଡ଼ିବା ପରେ ୨ଟା ୩୫ମିନିଟରେ ହରିଚନ୍ଦନପୁର ଷେ୍ଟସନରେ ପହଁଞ୍ଚିଥିଲା	0
ଦନ୍ତାହାତୀର ମୃତୁ୍ୟ ସନେ୍ଦହଜନକ	-1
ଶନିବାର ପ୍ରଥମ ଟେ୍ୱଣ୍ଟି୨୦ରେ ଇଂଲଣ୍ଡ ବିଜୟୀ ହୋଇଥିଲା	1
ଅାଜି ପୂର୍ବାହ୍ନରେ ସ୍ୱୟଂସହାୟକ ଗୋଷ୍ଠୀର ଉପାଦିତ ସାମଗ୍ରୀର ଏକ କର୍ମଶାଳା ଅାୟୋଜିତ ହୋଇଥିଲା	0
ସେହ୍ୱାଗ ପୂରା ଟୁଣ୍ର୍ଣାମେଣ୍ଟରେ ଭଲ ବ୍ୟାଟିଂକରି ଶ୍ରୀଲଙ୍କା ଦଳରେ ଅାତଙ୍କ ସୃଷ୍ଟି କରିଥିବା ବେେଳ ଅନ୍ୟ ଓପ୍‍ନର ଦିନେଶ କାତ୍ର୍ତିକ ବିଫଳ ହୋଇଛନ୍ତି	-1
ରାଜ୍ୟସ୍ତରୀୟ ପଲ୍ଲିଶ୍ରୀ ମେଳା ମୁଖ୍ୟ ଅାକର୍ଷଣ ବାଟହରିଚନ୍ଦନପୁର ଟେରାକୋଟା	0
ଓଡ଼ିଶୀ ନୃତ୍ୟର ପ୍ରସାର କେ୍ଷତ୍ରରେ ଉଲେ୍ଲଖନୀୟ ଅବଦାନ ପାଇଁ ୧୯୮୩୮୪ମସିହାରେ ଓଡ଼ିଶା ସଙ୍ଗୀତ ନାଟକ ଏକାଡେମୀ ପୁରସ୍କାର ପାଇଥିଲେ	1
ଏଥି ପୂର୍ବରୁ ବିଧାୟକ ଓ ଦ୍ୱିତୀୟ ସାକ୍ଷୀ ଭାବେ ମାଗୁଣି ଚରଣ ରାଉତ ବିଚାରପତି ରଘୁନାଥ ବିଶ୍ୱାଳଙ୍କ ଇଜଲାସରେ ସାକ୍ଷ୍ୟ ପ୍ରଦାନ କରିଥିଲେ	0
କେନ୍ଦ୍ର ସରକାରଙ୍କ ନିଷ୍ପତ୍ତିନୂଅାଦିଲ୍ଲୀ ତା୧୮ା୨ ନିପ୍ର ୟୁରିଅା ସାରର ଖୁଚୁରା ଦର ଶତକଡା ୧୦ ପ୍ରତିଶତ ବୃଦ୍ଧି କରାଯିବା ପାଇଁ କେନ୍ଦ୍ର ସରକାର ନିଷ୍ପତ୍ତି ନେଇଥିବା ଜଣାଯାଇଛି	0
ଏହି ବିଜୟ ଫଳରେ ୨ ମ୍ୟାଚ୍‍ର ଟେ୍ୱଣ୍ଟି୨୦ ସିରିଜ୍‍କୁ ପାକିସ୍ତାନ ୧୧ରେ ଡ୍ର ରଖିପାରିଛି	1
ତାଙ୍କ ସହ ଦିନିକିଅା ଦଳଗତ ମାନ୍ୟତାରେ ଭାରତ ୨ନଂ ସ୍ଥାନ ଫେରିପାଇଛି	1
ହାମଲା ୩୯୪ଟି ବଲ୍‍ ଖେଳି ୧୨୭ରନ୍‍ରେ ଅପରାଜିତ ରହିଥିଲେ	1
ପଲ୍ଲୀବାଣୀ ମିଶନର ପ୍ରତିଷ୍ଠାତା ଅଧ୍ୟକ୍ଷ ରାମଚନ୍ଦ୍ର ନାଥଙ୍କ ପୌରୋହିତ୍ୟରେ ଅନୁଷ୍ଠିତ ଏହି ସମ୍ବଦ୍ର୍ଧନା ଅାସରରେ ପ୍ରଖ୍ୟାତ କବି ତଥା ବରିଷ୍ଠ ପ୍ରଶାସକ ଅମରେନ୍ଦ୍ର ଖଟୁଅା ଶ୍ରୀ ମହାନ୍ତିଙ୍କର ରଚନାବଳୀ କିଭଳି ଯୁଗୋପଯୋଗୀ ଓ ପରିବତ୍ର୍ତିତ ସମୟ ସହିତ ତାଳ ମିଳାଇ ପ୍ରାସଙ୍ଗିକ ତାହା ସେ ବଣ୍ର୍ଣନା କରିଥିଲେ	1
ବେଙ୍ଗାଲୁର ତା୨୧ା୨ ଏଜେନ୍ସି ଏଠା ଚିନାସ୍ୱାମୀ ଷ୍ଟାଡ଼ିଅମଠାରେ ଚାଲିଥିବା ଏକଦିବସୀୟ ମହିଳା କ୍ରିକେଟରେ ଇଂଲଣ୍ଡ ଦଳ ୩ରନରେ ଭାରତକୁ ହରାଇ ରୋମାଞ୍ଚକର ବିଜୟ ହାସଲ କରିଛି	1
ଭୁବନେଶ୍ୱରତା ୧୮	0
ନୂତନ ଭାବେ ମଞ୍ଜୁର ପାଇଥିବା ପଦବୀ ସଂପର୍କରେ ସୂଚନାଦେଇ ମନ୍ତ୍ରୀ ଶ୍ରୀ ଅାଚାର୍ଯ୍ୟ କହିଥିଲେ ଯେ ଚିକିତ୍ସା କେନ୍ଦ୍ରରେ ବତ୍ର୍ତମାନ ମଞ୍ଜୁରୀ ପ୍ରାପ୍ତ ୫ଟି ଅାସୋସିଏଟ ପଦ ଥିଲାବେେଳ ରାଜ୍ୟ ସରକାର ଏବେ ଅାଉ ତିନିଟି ଅାସୋସିଏଟ ପ୍ରଫେସର ପଦ ମଞ୍ଜୁର କରିଛନ୍ତି	0
ଜଙ୍ଗଲ ବିଭାଗର ଖମାର ରେଞ୍ଜ ଅନ୍ତର୍ଗତ ବାଞ୍ଜିକୁସୁମ ସଂରକ୍ଷିତ ଜଙ୍ଗଲ ମଧ୍ୟରେ ଏହି ବିରାଟକାୟ ଦନ୍ତାହାତୀ ମରି ପଡିଥିବା ଦୁର୍ଗନ୍ଧ ହେବାରୁ ଜଣାପଡିଥିଲା	-1
ଅର୍ଜୁନ ଓ ଖେଳରତ୍ନ ମନୋନୟନ କମିଟି ପିଟିଉଷା ଅଧ୍ୟକ୍ଷା ଅପଣ୍ର୍ଣା ପୋପଟ୍‍ ବ୍ୟାଡମିଣ୍ଟନ ଏମସୋମାୟା ହକି ନିଶା ମିଲେଟ ସନ୍ତରଣ ଲିଅାଣ୍ଡର ପେସ୍‍ ଟେନିସ କଣ୍ର୍ଣନ ମାଲେଶ୍ୱରୀ ଭାରତେ୍ତାଳନ ଲିମ୍ବା ରାମ ତୀରନ୍ଦାଜ ଅଧିରାଜ ସିଂହ ଅଶ୍ୱଚାଳନା ମହମ୍ମଦ ହବିବ ଫୁଟବଲ ଶ୍ରୀରାମ ଭାବସାର କବାଡି ପ୍ରଦୀପ ସିଂହ ଏସଜିବରୁଅା ସାୟନ ଚାଟାର୍ଜୀ ଅାଇଶ୍ରୀନିବାସ ରାହୁଲ ଭଟନାଗର ପ୍ରବୀର କିଷନ ଏବଂ ଦୀପିକା କଚଲ	0
ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ଅନୁସନ୍ଧାନ ଅାରମ୍ଭ କରିଛି	0
ଅଷେ୍ଟ୍ରଲିଅା ପକ୍ଷରୁ ଷ୍ଟିଭେନ ସ୍ମିଥ୍‍ ୩ଟି ଏବଂ ମିଚେଲ ଷ୍ଟାର୍କ ଓ ନାଥାନ ଲାୟନ ୨ଟି ଲେଖାଏଁ ୱିକେଟ ପାଇଛନ୍ତି	0
ଚାପାନ ବିରତି ପରେ ପାଣେ୍ର୍ଣଲ ୬୪ଟି ବଲ୍‍ ଖେଳି ୨୨ରନ୍‍ କରି ଈଶାନ୍ତ ଶର୍ମାଙ୍କ ଦ୍ୱାରା ଅାଉଟ ହୋଇଥିଲେ	0
ଶନିବାର ନିଦ୍ର୍ଧାରିତ ସମୟରେ ଟେ୍ରନଟି କେନ୍ଦୁଝର ଷେ୍ଟସନରେ ପହଁଞ୍ଚିବା ପହଞ୍ଚଥିଲା	0
ଚଢ଼ଉ ଜାରି ରହିଥିବାରୁ ଜବତ ସମ୍ପତ୍ତିର ମୂଲ୍ୟ ସଠିକଭାବେ ହିସାବ କରାଯାଇ ପାରିନାହିଁ ବୋଲି ଡିଭିଜନ ଏସପି ଏକେମହାନ୍ତି ସୂଚନା ଦେଇଛନ୍ତି	-1
ଇଷ୍ଟକୋଷ୍ଟ ରେଳବାଇ ଓ ଜୟଦୁର୍ଗା ବିଜୟୀ	1
ମଧ୍ୟକ୍ରମରେ ରସ୍‍ ଟେଲର ଓ ଗ୍ରାଣ୍ଟ ଇଲିୟଟ୍‍ ସହଳ ଅାଉଟ ହୋଇଥିଲେ ସୁଦ୍ଧା ଅଲରାଉଣ୍ଡର କୋରେ ଅାଣ୍ଡରସନଙ୍କ ଧୂଅାଁଧାର ବ୍ୟାଟିଂ ଦଳୀୟ ସେ୍କାରକୁ ତିନି ଶହ ରନ ଅତିକ୍ରମ କରିବାରେ ମୁଖ୍ୟ ଭୂମିକା ଗ୍ରହଣ କରିଥିଲା	1
ରାଜ୍ୟଗୋଷ୍ଠୀ ସୁଟି ୨ୟ ଦିନରେ ଭାରତକୁ ୪ ସ୍ୱଣ୍ର୍ଣ	0
ନୂଅାଦିଲ୍ଲୀ ତା ୨୧ା୨ଏଜେନ୍ସି ଧାର୍ମିକ କର ଦାବିରେ ତିନିଜଣ ଶିଖଙ୍କୁ ପ୍ରଥମେ ଅପହରଣ କରି ପରେ ସେମାନଙ୍କ ମୁଣ୍ଡକାଟିବା ଏବଂ ଏହାକୁ ପେଶାୱରର ଏକ ଗୁରୁଦ୍ୱାର ସମ୍ମୁଖରେ ପୋତିବା ଭଳି ଜଘନ୍ୟ ତଥା ଅମାନବୀୟ କାଣ୍ଡ ଘଟାଇଛନ୍ତି ପାକିସ୍ତାନ ତାଲିବାନ ବିଦେ୍ରାହୀ	-1
୯୦ତମ ଟେଷ୍ଟରେ ଏହା ବେଲ୍‍ଙ୍କର ୧୯ତମ ଶତକ	1
ତାଜ୍‍ ସମୁଦ୍ରରେ ଧୋନିଙ୍କ ପାଇଁ ଖାଦ୍ୟ ରାନ୍ଧିଲେ ସାକ୍ଷୀ	0
ପ୍ରଥମ ଟି୨୦ରେ ଜିମ୍ବାୱେ ବିଜୟୀ	1
ତାଙ୍କ ରୁମ୍‍ରୁ ଜବତ ହୋଇଥିବା ମୃତୁ୍ୟକାଳୀନ ଜମାନବନ୍ଦୀରେ ଏଥିପାଇଁ କେହି ଦାୟୀ ନୁହନ୍ତି ବୋଲି ଉଲେ୍ଲଖ କରିଥିବା ଜଣାଯାଇଛି	0
ପୁଲିସ ଅାଶ୍ରମ ଭିତରୁ ଶିଶୁର ମୁଣ୍ଡ ଓ କେନାଲ କୂଳରୁ ଗଣ୍ଡି ଜବତ କରିଛି	-1
ପୁସ୍ତକ ମେଳାରେ ଓଡ଼ିଅା ଇଂରାଜୀ ହିନ୍ଦୀ ବଙ୍ଗଳା ସଂସ୍କୃତ ପୁସ୍ତକର ବହୁଳ ଭାବେ ଉପଲବ୍ଧ ହେଉଥିବାରୁ ବିଭିନ୍ନ ଭାଷାଭାଷୀ ଲୋକଙ୍କର ସମାଗମ ବୃଦ୍ଧି ପାଉଛି	1
ଯଦି ଏବେ ବିଜେପି ମନ୍ଦିର ନିର୍ମାଣ ପାଇଁ ମୁସଲମାନଙ୍କୁ ନିବେଦନ କରୁଛି ତେେବ ଅାରମ୍ଭରୁ ଅଯୋଧ୍ୟା ଅାନେ୍ଦାଳନ ପ୍ରହସନ କରୁଥିଲ କାହିଁକି ବୋଲି ଠାକ୍‍ରେ ପ୍ରଶ୍ନ କରୁଛନ୍ତି	0
ଏ ସମ୍ପର୍କରେ ମୋହନା ଥାନାରେ ଏକ ଅପମୃତୁ୍ୟ ମାମଲା ରୁଜୁ କରାଯାଇ ଶବ ବ୍ୟବଚେ୍ଛଦ ପାଇଁ ବ୍ରହ୍ମପୁର ପଠାଯାଇଛି	0
ଅାଜି ପୁଣିଥରେ ପୁଲିସକୁ ଛାଡି ଅନ୍ୟମାନେ ଅାଲୋଚନାରେ ଯୋଗ ଦେଇଥିଲେ ମଧ୍ୟ ସମାଧାନର ପନ୍ଥା ବାହାରି ନାହିଁ	0
ମହିଳାଙ୍କୁ ମିଳିବ୨ ବର୍ଷ ପ୍ରସୂତିକାଳୀନ ଛୁଟି	0
୨୯୯ ରନ୍‍ ଲକ୍ଷ୍ୟରେ ଦକ୍ଷିଣ ଅାଫ୍ରିକା ୯ମ ଓଭର ସୁଦ୍ଧା ଓପ୍‍ନିଂ ଯୋଡ଼ିରେ ୫୮ ରନ୍‍ କରି ପାରିଥିଲା	0
ବହୁ ପୂର୍ବରୁ ତାଙ୍କ ବିରୋଧରେ ବିଭିନ୍ନ ଅଭିଯୋଗ ହୋଇ ଅାସୁଥିଲା	-1
ଯେେବଠାରୁ ଅଦ୍ୟାବଧି ତାଙ୍କ ଅାନ୍ତର୍ଜାତିକ କ୍ରିକେଟ ଜୀବନରେ ଏହା ଶେ୍ରଷ୍ଠ ଏବଂ ସବୁଠାରୁ ସନେ୍ତାଷଜନକ ସମୟ ବୋଲି ରୋହିତ କହିଛନ୍ତି	1
ତେଣୁ ହକି ଇଣ୍ଡିଅାର ଅଧ୍ୟକ୍ଷ ପଦ ପାଇଁ ତାଙ୍କ ପକେ୍ଷ ସମୟ ବାହାର କରିବା ସମ୍ଭବ ନୁହେଁ	1
ଶ୍ରୀଲଙ୍କା ଅଧିନାୟକ ରଙ୍ଗନା ହେରାଥ୍‍ ଟସ୍‍ ଜିତି ପ୍ରଥମେ ବ୍ୟାଟିଂ ନିଷ୍ପତ୍ତି ନେଇଥିବାବେେଳ ୧୫ ରନରେ ଦଳ ଓପନର ଉପୁଲ ତରଙ୍ଗାଙ୍କ ୪ ୱିକେଟ ହରାଇଥିଲା	0
ମଙ୍ଗଳା କ୍ଲବର ସନେ୍ତାଷ ଚୌଧୁରୀଙ୍କୁ ଶେ୍ରଷ୍ଠ ମିଡଫିଲଡର ପୁରସ୍କାର ଦିଅାଯାଇଛି	1
ସାରଥୀ ଷ୍ଟାର୍‍ସର ଅମର ସାମନ୍ତ ୩ଟି ଓ ଅନୂପ ପାଲ ୨ଟି ୱିକେଟ ନେଇଥିଲେ	0
ସବୁ ସୁବିଧା କରିଦେେବ ବୋଲି କହିଥିଲେ କର୍ପୋରେଟର	0
ଏଭଳି ବ୍ୟବସ୍ଥା କେବଳ ବିଜେପିରେ ସମ୍ଭବ କାରଣ ବିଜେପି ଅନ୍ୟ କୌଣସି ରାଜୈନତିକ ଦଳ ଭଳି ପାରିବାରିକ ରାଜନୀତି ଉପରେ ବିଶ୍ୱାସ କରେନାହିଁ	0
ଘଟଣାରୁ ଜଣାପଡିଛି ଯେ ରବିବାର ଅପରାହ୍ନ ପ୍ରାୟ ସାଢେ ୩ଟା ବେେଳ ଅରୁଣ ଦୋଳମଣ୍ଡପ ସାହିର ଶ୍ରୀଧର ମାର୍ଥାଙ୍କ ଘରକୁ ଯାଇଥିଲେ	0
ତେେବ ଏହି ଅଣୟୁରିଅା ସାରଗୁଡ଼ିକ କେ୍ଷତ୍ରରେ ନିୟୁଟେ୍ରଣ୍ଟ ଅାଧାରିତ ସରକାରୀ ସବ୍‍ସିଡ଼ି ବ୍ୟବସ୍ଥା ଲାଗୁ କରାଯିବ ବୋଲି ମନ୍ତ୍ରୀ ଶ୍ରୀମତୀ ସୋନୀ ଅାଜି ଘୋଷଣା କରିଛନ୍ତି	0
ଅର୍ଥାତ୍‍ ଗତ ମ୍ୟାଚ୍‍ରେ ଶ୍ରୀଲଙ୍କା ସହ ଭଲ ପ୍ରଦର୍ଶନ ସତେ୍ତ୍ୱ ବାମହାତି ସ୍ପିନର ପ୍ରଜ୍ଞାନ ଓଝା ବାହାରେ ବସିବା ନିଶ୍ଚିତ	0
ପ୍ରକାଶ ଯେ ଶୁକ୍ରବାର ବଳରାମ ନିଜ ପୁଅର ସଢୁଘର ବାସୁଦେବପୁର ଥାନା ଅଧୀନ ତୁଳମ୍‍ତୁଳା ଗ୍ରାମର ପୀତବାସ ଦାସଙ୍କ ଘରକୁ ଅାସିଥିଲେ	0
ପରେଶ ପ୍ରଥମେ ଅପରାଜିତ ୫୧ ରନ୍‍ କରିବାରୁ ଏନ୍‍ଏସ୍‍ ସୁପର କିଙ୍ଗ୍‍ସ ୪ ୱିକେଟରେ ୧୫୫ ରନ୍‍ କରିଥିଲା	1
ସେହିପରି କୋଠା ଓ ଜମି ପ୍ଲଟ ଗୁଡିକର ପ୍ରକୃତ ମୂଲ୍ୟ ଜଣାପଡିବ	0
