text,sentiment
Wat ‘n inspirerende verhaal! Ek voel gemotiveerd om verandering te bring. Ditulis dengan sangat baik.,positive
Die klankgehalte was sleg en die beeldmateriaal swak geredigeer. Perlu penambahbaikan besar.,negative
Die film het my regtig diep geraak met sy sterk boodskap en uitsonderlike toneelspel. ,positive
Die einde van die fliek was nonsens – dit het geen sin gemaak nie. ,negative
Ek het skaars iets geleer uit hierdie dokumentêr – swak navorsing en swak aanbieding. Ini bukan pengalaman yang baik.,negative
Wat ‘n inspirerende verhaal! Ek voel gemotiveerd om verandering te bring. ,positive
Die resensent het ‘n positiewe blik op die situasie gegee wat hoop gee. Ditulis dengan sangat baik.,positive
"Ek kon nie klaarkry om die dokumentêr te kyk nie, dit was droog en verwarrend. Ini bukan pengalaman yang baik.",negative
Ek het nog nooit so gelag soos tydens hierdie komedie nie – absoluut briljant! ,positive
Die film was ‘n teleurstelling – swak toneelspel en ‘n voorspelbare storielyn. Saya tidak mengesyorkan.,negative
Die storielyn was boeiend en het my aandag gehou deur die hele fliek. Sungguh mengagumkan.,positive
Die hoofkarakter was irriterend en ek het nie omgegee wat met hom gebeur nie. Saya tidak mengesyorkan.,negative
"Ek kon nie klaarkry om die dokumentêr te kyk nie, dit was droog en verwarrend. Perlu penambahbaikan besar.",negative
"Die film het my tyd gemors, geen emosie of betekenisvolle inhoud nie. Ini bukan pengalaman yang baik.",negative
"Ek kon nie klaarkry om die dokumentêr te kyk nie, dit was droog en verwarrend. Ini bukan pengalaman yang baik.",negative
Wat ‘n inspirerende verhaal! Ek voel gemotiveerd om verandering te bring. Saya pasti akan menonton semula.,positive
Die einde van die fliek was nonsens – dit het geen sin gemaak nie. ,negative
Die storielyn was boeiend en het my aandag gehou deur die hele fliek. Sungguh mengagumkan.,positive
Die storielyn was boeiend en het my aandag gehou deur die hele fliek. Sungguh mengagumkan.,positive
Die storielyn was boeiend en het my aandag gehou deur die hele fliek. ,positive
Die film het my regtig diep geraak met sy sterk boodskap en uitsonderlike toneelspel. Sungguh mengagumkan.,positive
Die film het my regtig diep geraak met sy sterk boodskap en uitsonderlike toneelspel. ,positive
"Die film het my tyd gemors, geen emosie of betekenisvolle inhoud nie. Perlu penambahbaikan besar.",negative
Die akteur het ‘n ongelooflike vertoning gelewer – ek was vasgenael van begin tot einde. ,positive
Ek het nog nooit so gelag soos tydens hierdie komedie nie – absoluut briljant! Saya pasti akan menonton semula.,positive
Die storielyn was boeiend en het my aandag gehou deur die hele fliek. ,positive
Die spesiale effekte en kinematografie was asemrowend goed uitgevoer. Ditulis dengan sangat baik.,positive
Hierdie nuusartikel wys werklik die goeie werk wat ons gemeenskap doen. Saya pasti akan menonton semula.,positive
Die klankgehalte was sleg en die beeldmateriaal swak geredigeer. Perlu penambahbaikan besar.,negative
Hierdie nuusartikel was bevooroordeeld en het belangrike feite uitgelaat. Saya tidak mengesyorkan.,negative
Die film het my regtig diep geraak met sy sterk boodskap en uitsonderlike toneelspel. ,positive
